Driver,DriverNumber,Team,LapNumber,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,FreshTyre,IsPersonalBest,TrackStatus,LapTime_s,Sector1Time_s,Sector2Time_s,Sector3Time_s,PitInTime_s,PitOutTime_s
NOR,1,McLaren,1.0,234.0,234.0,102.0,96.0,MEDIUM,1.0,True,False,126,,,23.812,62.768,,1014.076
NOR,1,McLaren,2.0,249.0,291.0,,176.0,MEDIUM,2.0,True,False,671,,40.404,20.046,,1255.812,
NOR,1,McLaren,3.0,232.0,276.0,,190.0,MEDIUM,3.0,False,False,1,,43.538,22.121,,1889.117,1783.009
NOR,1,McLaren,4.0,237.0,263.0,293.0,189.0,MEDIUM,4.0,False,False,1,101.411,40.252,20.724,40.435,,2207.809
NOR,1,McLaren,5.0,262.0,265.0,276.0,282.0,MEDIUM,5.0,False,True,1,84.906,29.609,18.321,36.976,,
NOR,1,McLaren,6.0,264.0,289.0,286.0,233.0,MEDIUM,6.0,False,True,1,84.391,29.862,18.361,36.168,,
NOR,1,McLaren,7.0,195.0,193.0,,260.0,MEDIUM,7.0,False,False,1,,29.637,25.959,,2578.242,
VER,3,Red Bull Racing,1.0,234.0,254.0,274.0,146.0,MEDIUM,1.0,True,False,12,124.309,58.007,22.645,43.657,,929.473
VER,3,Red Bull Racing,2.0,244.0,277.0,116.0,213.0,MEDIUM,2.0,True,True,26,104.573,31.865,18.298,54.41,,
VER,3,Red Bull Racing,3.0,210.0,246.0,274.0,147.0,MEDIUM,3.0,True,False,671,115.581,46.488,23.017,46.076,,
VER,3,Red Bull Racing,4.0,246.0,280.0,287.0,291.0,MEDIUM,4.0,True,True,1,82.92,29.225,17.878,35.817,,
VER,3,Red Bull Racing,5.0,216.0,205.0,275.0,207.0,MEDIUM,5.0,True,False,1,,68.827,23.938,58.213,,
VER,3,Red Bull Racing,6.0,246.0,282.0,284.0,282.0,MEDIUM,6.0,True,True,1,82.305,29.148,17.841,35.316,,
VER,3,Red Bull Racing,7.0,189.0,128.0,276.0,215.0,MEDIUM,7.0,True,False,1,129.341,41.316,27.488,60.537,,
VER,3,Red Bull Racing,8.0,207.0,235.0,278.0,294.0,MEDIUM,8.0,True,False,1,97.97,33.394,23.27,41.306,,
VER,3,Red Bull Racing,9.0,244.0,279.0,284.0,293.0,MEDIUM,9.0,True,False,1,82.307,28.936,17.887,35.484,,
VER,3,Red Bull Racing,10.0,188.0,143.0,,210.0,MEDIUM,10.0,True,False,1,,82.771,27.15,70.169,2046.567,
VER,3,Red Bull Racing,11.0,240.0,260.0,278.0,168.0,MEDIUM,11.0,False,False,1,105.58,39.142,20.656,45.782,,2076.821
VER,3,Red Bull Racing,12.0,245.0,280.0,287.0,296.0,MEDIUM,12.0,False,True,1,81.403,28.648,17.806,34.949,,
VER,3,Red Bull Racing,13.0,234.0,252.0,,237.0,MEDIUM,13.0,False,False,1,,34.656,21.523,,2356.872,
VER,3,Red Bull Racing,14.0,240.0,266.0,279.0,188.0,SOFT,1.0,True,False,1,103.147,39.606,22.331,41.21,,2872.307
VER,3,Red Bull Racing,15.0,252.0,286.0,290.0,295.0,SOFT,2.0,True,True,1,80.908,28.394,17.739,34.775,,
