,Driver,DriverNumber,Team,LapTime_s,Sector1Time_s,Sector2Time_s,Sector3Time_s,SpeedFL,Compound,LapTime,Gap_to_P1_s
1,PIA,81,McLaren,79.729,27.803,17.538,34.388,304.0,SOFT,1:19.729,0.0
2,ANT,12,Mercedes,79.943,28.067,17.531,34.345,293.0,SOFT,1:19.943,0.214
3,RUS,63,Mercedes,80.049,28.037,17.555,34.457,300.0,SOFT,1:20.049,0.32
4,HAM,44,Ferrari,80.05,27.902,17.593,34.555,303.0,SOFT,1:20.050,0.321
5,LEC,16,Ferrari,80.291,28.182,17.462,34.647,308.0,SOFT,1:20.291,0.562
6,VER,3,Red Bull Racing,80.366,28.149,17.57,34.647,291.0,SOFT,1:20.366,0.637
7,NOR,1,McLaren,80.794,28.196,17.913,34.685,295.0,SOFT,1:20.794,1.065
8,LIN,41,Racing Bulls,80.922,28.513,17.484,34.925,307.0,SOFT,1:20.922,1.193
9,HAD,6,Red Bull Racing,80.941,28.26,18.02,34.661,297.0,SOFT,1:20.941,1.212
10,OCO,31,Haas F1 Team,81.179,28.749,17.553,34.877,307.0,SOFT,1:21.179,1.45
11,BEA,87,Haas F1 Team,81.326,28.652,17.544,35.13,309.0,SOFT,1:21.326,1.597
12,HUL,27,Audi,81.351,28.664,17.591,35.096,295.0,SOFT,1:21.351,1.622
13,LAW,30,Racing Bulls,81.358,28.719,17.64,34.999,300.0,SOFT,1:21.358,1.629
14,BOR,5,Audi,81.668,28.427,17.76,35.481,297.0,SOFT,1:21.668,1.939
15,ALB,23,Williams,81.847,28.668,17.918,35.261,311.0,SOFT,1:21.847,2.118
16,GAS,10,Alpine,82.167,28.92,17.827,35.42,299.0,SOFT,1:22.167,2.438
17,SAI,55,Williams,82.253,28.994,17.869,35.39,303.0,MEDIUM,1:22.253,2.524
18,COL,43,Alpine,82.619,29.207,17.881,35.531,300.0,SOFT,1:22.619,2.89
19,BOT,77,Cadillac,83.66,29.352,18.028,36.28,303.0,SOFT,1:23.660,3.931
20,ALO,14,Aston Martin,84.662,29.493,18.528,36.641,280.0,SOFT,1:24.662,4.933
21,STR,18,Aston Martin,85.816,30.004,18.851,36.961,284.0,SOFT,1:25.816,6.087
22,PER,11,Cadillac,118.806,44.438,20.758,53.61,283.0,SOFT,1:58.806,39.077
