Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:03:10.714000,20.3,65.8,1014.7,False,34.2,94,2.4
0 days 00:04:10.708000,20.3,65.9,1014.7,False,33.5,89,3.4
0 days 00:05:10.724000,20.4,66.6,1014.7,False,34.0,104,1.9
0 days 00:06:10.772000,20.4,66.6,1014.7,False,34.3,113,2.8
0 days 00:07:10.737000,20.4,65.8,1014.8,False,34.2,102,1.4
0 days 00:08:10.720000,20.4,65.5,1014.7,False,35.3,81,1.4
0 days 00:09:10.732000,20.4,65.0,1014.7,False,34.8,86,2.8
0 days 00:10:10.720000,20.4,64.1,1014.7,False,34.6,114,2.1
0 days 00:11:10.710000,20.3,64.5,1014.7,False,34.6,68,2.1
0 days 00:12:10.727000,20.3,64.3,1014.7,False,35.3,86,3.0
0 days 00:13:10.729000,20.2,63.4,1014.7,False,35.7,304,0.9
0 days 00:14:10.737000,20.3,63.5,1014.6,False,35.3,90,2.3
0 days 00:15:10.711000,20.3,63.5,1014.8,False,35.2,84,2.1
0 days 00:16:10.718000,20.3,63.7,1014.6,False,35.3,45,0.9
0 days 00:17:10.730000,20.3,64.0,1014.7,False,35.5,103,0.5
0 days 00:18:10.778000,20.3,64.0,1014.6,False,36.5,66,1.7
0 days 00:19:10.781000,20.3,63.3,1014.7,False,36.9,154,2.0
0 days 00:20:10.782000,20.4,63.3,1014.7,False,37.6,76,1.9
0 days 00:21:10.778000,20.5,63.4,1014.7,False,36.6,85,0.9
0 days 00:22:10.794000,20.5,63.9,1014.7,False,36.4,62,1.2
0 days 00:23:10.810000,20.5,63.9,1014.6,False,36.1,115,1.8
0 days 00:24:10.810000,20.4,63.3,1014.7,False,36.2,92,2.6
0 days 00:25:10.826000,20.4,63.6,1014.7,False,35.8,79,2.5
0 days 00:26:10.826000,20.4,63.8,1014.6,False,35.2,81,2.8
0 days 00:27:10.814000,20.4,65.4,1014.6,False,35.6,103,1.9
0 days 00:28:10.827000,20.4,65.9,1014.6,False,35.6,71,1.8
0 days 00:29:10.820000,20.4,64.8,1014.6,False,35.4,27,1.1
0 days 00:30:10.830000,20.4,64.7,1014.7,False,34.9,111,1.6
0 days 00:31:10.827000,20.4,64.4,1014.6,False,35.3,28,1.4
0 days 00:32:10.819000,20.4,65.2,1014.7,False,34.7,86,2.1
0 days 00:33:10.827000,20.4,65.1,1014.7,False,35.4,86,2.4
0 days 00:34:10.826000,20.4,64.7,1014.6,False,35.3,124,0.6
0 days 00:35:10.832000,20.5,63.5,1014.6,False,35.3,296,1.6
0 days 00:36:10.847000,20.6,63.1,1014.7,False,35.0,83,1.0
0 days 00:37:10.843000,20.6,62.9,1014.5,False,35.4,88,2.3
0 days 00:38:10.877000,20.5,63.5,1014.6,False,35.8,55,1.3
0 days 00:39:10.867000,20.4,64.0,1014.7,False,35.5,16,0.8
0 days 00:40:10.873000,20.4,64.3,1014.7,False,36.0,90,2.9
