Driver,DriverNumber,fp1_laptime,fp1_s1,fp1_s2,fp1_s3,fp1_speed,fp1_gap,fp2_laptime,fp2_s1,fp2_s2,fp2_s3,fp2_speed,fp2_gap,fp3_laptime,fp3_s1,fp3_s2,fp3_s3,fp3_speed,fp3_gap,quali_laptime,quali_s1,quali_s2,quali_s3,quali_speed,quali_gap,quali_anomaly,Q1_s,Q2_s,Q3_s,GridPosition,eliminated_Q1,eliminated_Q2,reached_Q3,Team,race_pos,classified_pos,race_status,race_points,dnf,finished,positions_gained,pit_stops,first_pit,last_pit,race_fastest_lap_s,race_fastest_speed,race_fastest_compound,fp_improvement,fp2_to_fp3_delta,quali_vs_fp3,fp3_sector_std,team_color
RUS,63.0,81.371,28.517,17.87,34.984,297.0,1.104,80.049,28.037,17.555,34.457,300.0,0.32,79.053,27.77,17.276,34.007,307.0,0.0,78.518,27.498,17.284,33.736,296.0,0.0,False,79.507,78.934,78.518,1.0,False,False,True,Mercedes,1.0,1,Finished,25.0,False,True,0.0,1.0,12.0,12.0,82.67,296.0,HARD,2.317999999999998,0.9960000000000093,-0.5349999999999966,8.455280066325418,#00D7B6
ANT,12.0,81.376,28.49,17.976,34.91,278.0,1.109,79.943,28.067,17.531,34.345,293.0,0.214,80.324,28.23,17.582,34.512,299.0,1.271,78.811,27.556,17.44,33.815,298.0,0.293,False,80.12,79.435,78.811,2.0,False,False,True,Mercedes,2.0,2,Finished,18.0,False,True,0.0,1.0,12.0,12.0,82.417,298.0,HARD,1.0520000000000067,-0.3810000000000002,-1.512999999999991,8.558312995756426,#00D7B6
LEC,16.0,80.267,28.205,17.472,34.59,309.0,0.0,80.291,28.182,17.462,34.647,308.0,0.562,79.827,27.915,17.54,34.372,304.0,0.774,79.327,27.761,17.505,34.061,300.0,0.809,False,80.226,79.357,79.327,4.0,False,False,True,Ferrari,3.0,3,Finished,15.0,False,True,1.0,1.0,25.0,25.0,82.579,301.0,HARD,0.4399999999999977,0.46399999999999864,-0.5,8.491659613997726,#E8002D
HAM,44.0,80.736,28.448,17.607,34.681,307.0,0.469,80.05,27.902,17.593,34.555,303.0,0.321,79.669,28.01,17.431,34.228,299.0,0.616,79.478,27.756,17.57,34.152,301.0,0.96,False,79.811,79.921,79.478,7.0,False,False,True,Ferrari,4.0,4,Finished,12.0,False,True,3.0,1.0,28.0,28.0,82.423,303.0,HARD,1.0670000000000073,0.3810000000000002,-0.1910000000000025,8.492329617562742,#E8002D
NOR,1.0,84.391,29.862,18.361,36.168,286.0,4.124,80.794,28.196,17.913,34.685,295.0,1.065,80.443,28.224,17.784,34.435,281.0,1.39,79.475,27.754,17.568,34.153,299.0,0.957,False,80.01,79.882,79.475,6.0,False,False,True,McLaren,5.0,5,Finished,10.0,False,True,1.0,2.0,11.0,34.0,82.358,296.0,MEDIUM,3.9480000000000075,0.3509999999999991,-0.9680000000000035,8.414530309728129,#FF8000
VER,3.0,80.789,28.362,17.673,34.754,293.0,0.522,80.366,28.149,17.57,34.647,291.0,0.637,80.197,27.798,17.902,34.497,312.0,1.144,102.025,41.429,19.065,41.531,287.0,23.507,True,,,,20.0,True,False,False,Red Bull Racing,6.0,6,Finished,8.0,False,True,14.0,2.0,18.0,41.0,82.091,305.0,HARD,0.5919999999999987,0.16899999999999693,21.828000000000003,8.348666979424518,#3671C6
BEA,87.0,82.682,29.112,17.976,35.594,299.0,2.415,81.326,28.652,17.544,35.13,309.0,1.597,80.778,28.696,17.567,34.515,305.0,1.725,80.311,28.492,17.439,34.38,308.0,1.793,False,81.247,80.311,,12.0,False,True,False,Haas F1 Team,7.0,7,Lapped,6.0,False,False,5.0,1.0,18.0,18.0,84.02,301.0,HARD,1.9039999999999964,0.5479999999999876,-0.46699999999999875,8.611524313383782,#B6BABD
LIN,41.0,81.313,28.681,17.444,35.188,290.0,1.046,80.922,28.513,17.484,34.925,307.0,1.193,80.838,28.624,17.589,34.625,296.0,1.785,79.971,28.173,17.38,34.418,297.0,1.453,False,80.409,79.971,81.247,9.0,False,False,True,Racing Bulls,8.0,8,Lapped,4.0,False,False,1.0,1.0,18.0,18.0,84.182,297.0,HARD,0.4750000000000085,0.08400000000000318,-0.8669999999999902,8.641069783308083,#6692FF
BOR,5.0,81.696,28.432,17.955,35.309,294.0,1.429,81.668,28.427,17.76,35.481,297.0,1.939,80.459,28.42,17.505,34.534,304.0,1.406,80.221,28.272,17.418,34.531,299.0,1.703,False,80.495,80.221,,10.0,False,True,False,Audi,9.0,9,Lapped,2.0,False,False,1.0,2.0,18.0,33.0,83.257,293.0,HARD,1.2369999999999948,1.2090000000000032,-0.23799999999999955,8.626558429254006,#52E252
GAS,10.0,84.035,28.982,18.597,36.456,295.0,3.768,82.167,28.92,17.827,35.42,299.0,2.438,81.071,28.456,17.75,34.865,315.0,2.018,80.501,28.339,17.557,34.605,291.0,1.983,False,81.138,80.501,,14.0,False,True,False,Alpine,10.0,10,Lapped,1.0,False,False,4.0,1.0,11.0,11.0,84.486,298.0,HARD,2.9639999999999986,1.0960000000000036,-0.5699999999999932,8.646935314510763,#FF87BC
OCO,31.0,82.161,29.123,17.704,35.334,303.0,1.894,81.179,28.749,17.553,34.877,307.0,1.45,80.983,28.643,17.645,34.695,309.0,1.93,80.491,28.499,17.469,34.523,299.0,1.973,False,80.759,80.491,,13.0,False,True,False,Haas F1 Team,11.0,11,Lapped,0.0,False,False,2.0,1.0,11.0,11.0,84.424,301.0,HARD,1.1779999999999973,0.19599999999999795,-0.49200000000000443,8.643737694616451,#B6BABD
ALB,23.0,83.13,29.116,18.373,35.641,286.0,2.863,81.847,28.668,17.918,35.261,311.0,2.118,81.664,28.869,17.8,34.995,290.0,2.611,80.941,28.292,17.74,34.909,292.0,2.423,False,81.051,80.941,,15.0,False,True,False,Williams,12.0,12,Lapped,0.0,False,False,3.0,2.0,12.0,33.0,84.375,296.0,SOFT,1.465999999999994,0.18299999999999272,-0.722999999999999,8.715108165326079,#64C4FF
LAW,30.0,82.613,29.136,18.008,35.469,293.0,2.346,81.358,28.719,17.64,34.999,300.0,1.629,80.89,28.57,17.607,34.713,306.0,1.837,79.994,28.206,17.395,34.393,318.0,1.476,False,80.491,80.144,79.994,8.0,False,False,True,Racing Bulls,13.0,13,Lapped,0.0,False,False,-5.0,2.0,11.0,33.0,83.783,290.0,SOFT,1.722999999999999,0.4680000000000035,-0.8960000000000008,8.665439534918777,#6692FF
COL,43.0,83.325,29.105,18.16,36.06,306.0,3.058,82.619,29.207,17.881,35.531,300.0,2.89,81.413,28.684,17.739,34.99,306.0,2.36,81.2,28.515,17.811,34.874,288.0,2.682,False,81.2,81.27,,16.0,False,True,False,Alpine,14.0,14,Lapped,0.0,False,False,2.0,2.0,9.0,46.0,82.926,292.0,SOFT,1.9120000000000061,1.206000000000003,-0.21299999999999386,8.72883785697348,#FF87BC
PER,11.0,84.62,29.655,18.329,36.636,303.0,4.353,118.806,44.438,20.758,53.61,283.0,39.077,84.397,29.862,18.168,36.367,298.0,5.344,82.605,29.138,17.819,35.648,301.0,4.087,False,82.605,,,18.0,True,False,False,Cadillac,16.0,16,Lapped,0.0,False,False,2.0,2.0,18.0,43.0,86.07,292.0,SOFT,0.22299999999999898,34.40899999999999,-1.7920000000000016,9.221968896788436,#C8AA6E
