,Driver,DriverNumber,Team,SpeedFL,Compound,LapTime_s,Sector1Time_s,Sector2Time_s,Sector3Time_s,LapTime,Gap_to_Pole_s
1,RUS,63,Mercedes,296.0,SOFT,78.518,27.498,17.284,33.736,1:18.518,0.0
2,ANT,12,Mercedes,298.0,SOFT,78.811,27.556,17.44,33.815,1:18.811,0.293
3,HAD,6,Red Bull Racing,304.0,SOFT,79.303,27.747,17.52,34.036,1:19.303,0.785
4,LEC,16,Ferrari,300.0,SOFT,79.327,27.761,17.505,34.061,1:19.327,0.809
5,PIA,81,McLaren,298.0,SOFT,79.38,27.737,17.655,33.988,1:19.380,0.862
6,NOR,1,McLaren,299.0,SOFT,79.475,27.754,17.568,34.153,1:19.475,0.957
7,HAM,44,Ferrari,301.0,SOFT,79.478,27.756,17.57,34.152,1:19.478,0.96
8,LIN,41,Racing Bulls,297.0,SOFT,79.971,28.173,17.38,34.418,1:19.971,1.453
9,LAW,30,Racing Bulls,318.0,SOFT,79.994,28.206,17.395,34.393,1:19.994,1.476
10,BOR,5,Audi,299.0,SOFT,80.221,28.272,17.418,34.531,1:20.221,1.703
11,HUL,27,Audi,295.0,SOFT,80.303,28.587,17.405,34.311,1:20.303,1.785
12,BEA,87,Haas F1 Team,308.0,SOFT,80.311,28.492,17.439,34.38,1:20.311,1.793
13,OCO,31,Haas F1 Team,299.0,SOFT,80.491,28.499,17.469,34.523,1:20.491,1.973
14,GAS,10,Alpine,291.0,SOFT,80.501,28.339,17.557,34.605,1:20.501,1.983
15,ALB,23,Williams,292.0,SOFT,80.941,28.292,17.74,34.909,1:20.941,2.423
16,COL,43,Alpine,288.0,SOFT,81.2,28.515,17.811,34.874,1:21.200,2.682
17,ALO,14,Aston Martin,294.0,SOFT,81.969,28.797,18.047,35.125,1:21.969,3.451
18,PER,11,Cadillac,301.0,SOFT,82.605,29.138,17.819,35.648,1:22.605,4.087
19,BOT,77,Cadillac,303.0,SOFT,83.244,29.198,18.068,35.978,1:23.244,4.726
20,VER,3,Red Bull Racing,287.0,SOFT,102.025,41.429,19.065,41.531,1:42.025,23.507
