Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
1097.451,RUS,63,111.876,1.0,1.0,988.955,,41.997,19.351,50.528,1027.744,1046.947,1097.713,263.0,287.0,273.0,199.0,False,SOFT,1.0,True,Mercedes,988.955,,1,,,,False,False
1177.291,RUS,63,79.84,2.0,1.0,,,27.99,17.599,34.251,1125.441,1143.04,1177.291,265.0,278.0,294.0,292.0,True,SOFT,2.0,True,Mercedes,1097.451,,1,,,,False,True
1298.86,RUS,63,121.569,3.0,1.0,,1284.695,40.873,22.025,58.671,1218.164,1240.189,1298.86,222.0,283.0,,201.0,False,SOFT,3.0,True,Mercedes,1177.291,,1,,,,False,False
1922.05,RUS,63,,4.0,2.0,1302.023,1418.517,46.779,22.489,,1345.77,1368.254,,230.0,284.0,,129.0,False,SOFT,4.0,False,Mercedes,1298.86,,125,,,,False,False
2032.363,RUS,63,110.313,5.0,3.0,1932.182,,52.39,19.564,38.359,1974.44,1994.004,2032.363,246.0,284.0,279.0,136.0,False,SOFT,5.0,False,Mercedes,1932.182,,1,,,,False,False
2125.609,RUS,63,93.246,6.0,3.0,,,31.116,23.1,39.03,2063.479,2086.579,2125.609,267.0,281.0,274.0,248.0,False,SOFT,6.0,False,Mercedes,2032.363,,1,,,,False,True
2205.116,RUS,63,79.507,7.0,3.0,,,27.908,17.413,34.186,2153.517,2170.93,2205.116,266.0,282.0,301.0,296.0,True,SOFT,7.0,False,Mercedes,2125.609,,1,,,,False,True
2891.335,RUS,63,,8.0,3.0,,2311.168,44.215,22.959,,2249.408,2272.449,,204.0,281.0,,240.0,False,SOFT,8.0,False,Mercedes,2205.116,,12,,,,False,False
3030.583,RUS,63,139.248,9.0,4.0,2916.384,,61.667,23.062,54.519,2953.002,2976.064,3030.583,254.0,171.0,274.0,197.0,False,SOFT,1.0,True,Mercedes,2891.335,,1,,,,False,False
3109.517,RUS,63,78.934,10.0,4.0,,,27.816,17.287,33.831,3058.399,3075.686,3109.517,273.0,285.0,301.0,294.0,True,SOFT,2.0,True,Mercedes,3030.583,,1,,,,False,True
3359.334,RUS,63,,11.0,4.0,,3204.879,33.193,20.833,,3142.827,3163.602,,252.0,263.0,,231.0,False,SOFT,3.0,True,Mercedes,3109.517,,1,,,,False,False
3467.988,RUS,63,108.654,12.0,5.0,3364.11,,48.833,20.916,38.905,3408.167,3429.083,3467.988,250.0,282.0,274.0,134.0,False,SOFT,4.0,False,Mercedes,3359.334,,1,,,,False,False
3546.975,RUS,63,78.987,13.0,5.0,,,27.662,17.426,33.899,3495.65,3513.076,3546.975,268.0,280.0,297.0,294.0,False,SOFT,5.0,False,Mercedes,3467.988,,1,,,,False,True
4352.018,RUS,63,,14.0,5.0,,3643.685,34.526,20.997,,3581.48,3602.482,,249.0,279.0,,212.0,False,SOFT,6.0,False,Mercedes,3546.975,,12,,,,False,False
4460.101,RUS,63,108.083,15.0,6.0,4356.744,,47.304,19.118,41.661,4399.322,4418.44,4460.101,256.0,282.0,278.0,144.0,False,SOFT,1.0,True,Mercedes,4352.018,,1,,,,False,False
4970.956,RUS,63,,16.0,6.0,,4557.248,27.522,,,4487.713,,,269.0,,,297.0,False,SOFT,2.0,True,Mercedes,4460.101,,152,,,,False,False
5075.583,RUS,63,,17.0,7.0,4970.956,,,21.85,44.759,,5030.847,5075.757,162.0,251.0,276.0,181.0,False,SOFT,2.0,False,Mercedes,4970.956,,1,,,,False,False
5154.667,RUS,63,79.084,18.0,7.0,,,27.674,17.488,33.922,5103.257,5120.745,5154.667,269.0,274.0,298.0,293.0,True,SOFT,3.0,False,Mercedes,5075.583,,1,,,,False,True
5321.689,RUS,63,,19.0,7.0,,5242.485,31.059,19.934,,5185.838,5205.791,,257.0,282.0,,265.0,False,SOFT,4.0,False,Mercedes,5154.667,,1,,,,False,False
5424.317,RUS,63,102.628,20.0,8.0,5326.192,,43.32,19.771,39.537,5365.009,5384.78,5424.317,255.0,268.0,278.0,125.0,False,SOFT,1.0,True,Mercedes,5321.689,,1,,,,False,False
5502.835,RUS,63,78.518,21.0,8.0,,,27.498,17.284,33.736,5451.815,5469.099,5502.835,267.0,284.0,296.0,296.0,True,SOFT,2.0,True,Mercedes,5424.317,,1,,,,False,True
5607.599,RUS,63,,22.0,8.0,,5607.599,33.644,23.366,,5536.545,5559.889,,228.0,218.0,,236.0,False,SOFT,3.0,True,Mercedes,5502.835,,1,,,,False,False
2089.014,ANT,12,119.979,1.0,1.0,1986.451,,57.486,20.671,41.822,2026.548,2047.204,2089.282,240.0,272.0,264.0,180.0,False,SOFT,1.0,True,Mercedes,1986.451,,1,,,,False,False
2169.134,ANT,12,80.12,2.0,1.0,,,28.214,17.61,34.296,2117.228,2134.838,2169.134,264.0,273.0,292.0,279.0,True,SOFT,2.0,True,Mercedes,2089.014,,1,,,,False,True
2277.628,ANT,12,108.494,3.0,1.0,,,35.026,24.129,49.339,2204.16,2228.289,2277.628,207.0,234.0,263.0,259.0,False,SOFT,3.0,True,Mercedes,2169.134,,1,,,,False,True
2357.917,ANT,12,80.289,4.0,1.0,,,28.414,17.745,34.13,2306.042,2323.787,2357.917,261.0,273.0,292.0,282.0,False,SOFT,4.0,True,Mercedes,2277.628,,1,,,,False,True
2882.851,ANT,12,,5.0,1.0,,2454.685,33.419,21.126,,2391.384,2412.48,,236.0,256.0,,236.0,False,SOFT,5.0,True,Mercedes,2357.917,,12,,,,False,False
3004.906,ANT,12,122.055,6.0,2.0,2899.626,,59.75,19.667,42.638,2942.601,2962.268,3004.906,240.0,275.0,277.0,175.0,False,SOFT,1.0,True,Mercedes,2882.851,,1,,,,False,False
3084.51,ANT,12,79.604,7.0,2.0,,,27.908,17.495,34.201,3032.814,3050.309,3084.51,273.0,278.0,299.0,294.0,True,SOFT,2.0,True,Mercedes,3004.906,,1,,,,False,True
3353.586,ANT,12,,8.0,2.0,,3189.374,36.062,23.975,,3120.659,3144.562,,229.0,257.0,,285.0,False,SOFT,3.0,True,Mercedes,3084.51,,1,,,,False,False
3455.793,ANT,12,102.207,9.0,3.0,3356.888,,42.908,19.645,39.654,3396.494,3416.139,3455.793,246.0,281.0,274.0,157.0,False,SOFT,4.0,False,Mercedes,3353.586,,1,,,,False,False
3535.228,ANT,12,79.435,10.0,3.0,,,28.002,17.497,33.936,3483.795,3501.292,3535.228,279.0,285.0,292.0,286.0,True,SOFT,5.0,False,Mercedes,3455.793,,1,,,,False,True
4347.734,ANT,12,,11.0,3.0,,3641.123,42.834,21.402,,3578.151,3599.582,,229.0,272.0,,257.0,False,SOFT,6.0,False,Mercedes,3535.228,,12,,,,False,False
4450.463,ANT,12,102.729,12.0,4.0,4350.463,,41.705,19.802,41.222,4389.439,4409.241,4450.463,242.0,251.0,269.0,167.0,False,SOFT,1.0,True,Mercedes,4347.734,,1,,,,False,False
4964.909,ANT,12,,13.0,4.0,,4548.952,27.637,,,4478.245,,,275.0,,,290.0,False,SOFT,2.0,True,Mercedes,4450.463,,152,,,,False,False
5063.288,ANT,12,,14.0,5.0,4964.909,,,20.849,40.285,,5023.003,5063.409,241.0,248.0,270.0,193.0,False,SOFT,2.0,False,Mercedes,4964.909,,1,,,,False,False
5295.643,ANT,12,,15.0,5.0,,5158.949,33.411,25.69,,5096.728,5122.386,,244.0,276.0,,289.0,False,SOFT,3.0,False,Mercedes,5063.288,,1,,,,False,False
5392.554,ANT,12,96.911,16.0,6.0,5298.391,,37.877,19.532,39.502,5333.52,5353.052,5392.554,249.0,270.0,272.0,201.0,False,SOFT,1.0,True,Mercedes,5295.643,,1,,,,False,False
