Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:53.196000,20.6,67.2,1013.5,False,37.7,114,1.8
0 days 00:01:53.206000,20.5,67.5,1013.5,False,37.3,85,2.2
0 days 00:02:53.215000,20.5,67.7,1013.5,False,37.4,94,2.7
0 days 00:03:53.228000,20.5,68.2,1013.6,False,37.7,94,2.4
0 days 00:04:53.214000,20.5,67.9,1013.5,False,37.4,93,3.0
0 days 00:05:53.217000,20.5,68.2,1013.6,False,37.8,91,0.8
0 days 00:06:53.216000,20.4,68.4,1013.7,False,37.8,67,2.8
0 days 00:07:53.217000,20.4,67.3,1013.6,False,37.6,102,3.0
0 days 00:08:53.216000,20.5,66.8,1013.5,False,37.5,104,3.7
0 days 00:09:53.230000,20.5,66.8,1013.6,False,37.6,171,0.7
0 days 00:10:53.212000,20.4,66.9,1013.5,False,37.5,76,1.8
0 days 00:11:53.233000,20.5,66.3,1013.5,False,37.5,105,2.3
0 days 00:12:53.236000,20.5,65.8,1013.5,False,37.3,89,2.6
0 days 00:13:53.250000,20.5,65.6,1013.5,False,37.7,22,2.0
0 days 00:14:53.250000,20.5,65.1,1013.5,False,37.5,164,1.9
0 days 00:15:53.264000,20.5,65.4,1013.5,False,37.4,119,0.4
0 days 00:16:53.275000,20.5,65.8,1013.4,False,37.2,79,4.2
0 days 00:17:53.291000,20.5,65.2,1013.5,False,36.9,79,1.6
0 days 00:18:53.291000,20.6,65.4,1013.5,False,36.3,88,3.7
0 days 00:19:53.295000,20.6,65.4,1013.6,False,36.3,114,2.2
0 days 00:20:53.304000,20.6,64.7,1013.5,False,35.6,104,3.0
0 days 00:21:53.304000,20.5,64.0,1013.5,False,35.7,49,2.6
0 days 00:22:53.333000,20.5,64.5,1013.6,False,36.0,64,2.3
0 days 00:23:53.361000,20.4,65.2,1013.6,False,35.7,33,1.1
0 days 00:24:53.377000,20.4,65.1,1013.5,False,35.3,91,3.5
0 days 00:25:53.377000,20.3,65.5,1013.5,False,35.7,70,1.9
0 days 00:26:53.377000,20.3,65.8,1013.6,False,35.5,60,2.3
0 days 00:27:53.378000,20.3,65.3,1013.5,False,35.5,78,2.5
0 days 00:28:53.381000,20.3,65.9,1013.5,False,35.3,48,0.9
0 days 00:29:53.375000,20.3,65.8,1013.5,False,35.2,89,2.7
0 days 00:30:53.416000,20.3,66.4,1013.4,False,34.8,116,0.8
0 days 00:31:53.400000,20.3,66.3,1013.5,False,35.1,109,1.2
0 days 00:32:53.414000,20.3,66.7,1013.5,False,35.1,96,2.8
0 days 00:33:53.407000,20.3,66.4,1013.5,False,35.2,71,3.4
0 days 00:34:53.420000,20.3,65.8,1013.4,False,34.9,75,1.9
0 days 00:35:53.424000,20.3,66.4,1013.4,False,34.7,76,2.9
0 days 00:36:53.423000,20.3,66.1,1013.5,False,34.8,86,2.8
0 days 00:37:53.449000,20.3,66.4,1013.4,False,34.5,110,1.2
0 days 00:38:53.449000,20.3,66.6,1013.5,False,34.4,90,3.1
0 days 00:39:53.446000,20.4,66.3,1013.5,False,34.5,77,2.3
0 days 00:40:53.451000,20.4,65.8,1013.5,False,34.6,106,2.9
