Driver,DriverNumber,Team,LapTime,SpeedFL,Compound,LapTime_fmt
VER,3,Red Bull Racing,82.091,305.0,HARD,1:22.091
NOR,1,McLaren,82.358,296.0,MEDIUM,1:22.358
ANT,12,Mercedes,82.417,298.0,HARD,1:22.417
HAM,44,Ferrari,82.423,303.0,HARD,1:22.423
LEC,16,Ferrari,82.579,301.0,HARD,1:22.579
RUS,63,Mercedes,82.67,296.0,HARD,1:22.670
COL,43,Alpine,82.926,292.0,SOFT,1:22.926
BOR,5,Audi,83.257,293.0,HARD,1:23.257
SAI,55,Williams,83.59,296.0,SOFT,1:23.590
LAW,30,Racing Bulls,83.783,290.0,SOFT,1:23.783
BEA,87,Haas F1 Team,84.02,301.0,HARD,1:24.020
LIN,41,Racing Bulls,84.182,297.0,HARD,1:24.182
ALB,23,Williams,84.375,296.0,SOFT,1:24.375
OCO,31,Haas F1 Team,84.424,301.0,HARD,1:24.424
GAS,10,Alpine,84.486,298.0,HARD,1:24.486
HAD,6,Red Bull Racing,85.239,298.0,MEDIUM,1:25.239
STR,18,Aston Martin,85.41,284.0,SOFT,1:25.410
ALO,14,Aston Martin,85.713,285.0,SOFT,1:25.713
PER,11,Cadillac,86.07,292.0,SOFT,1:26.070
BOT,77,Cadillac,87.364,296.0,HARD,1:27.364
