,Driver,DriverNumber,Team,LapTime_s,Sector1Time_s,Sector2Time_s,Sector3Time_s,SpeedFL,Compound,LapTime,Gap_to_Best_s
0,RUS,63,Mercedes,92.741,24.414,27.911,40.416,257.0,SOFT,0 days 00:01:32.741000,0.0
1,ANT,12,Mercedes,92.861,24.267,27.943,40.651,255.0,SOFT,0 days 00:01:32.861000,0.12
2,NOR,1,McLaren,93.296,24.358,28.258,40.68,257.0,SOFT,0 days 00:01:33.296000,0.555
3,PIA,81,McLaren,93.472,24.545,28.164,40.763,259.0,SOFT,0 days 00:01:33.472000,0.731
4,LEC,16,Ferrari,93.599,24.637,28.205,40.757,257.0,SOFT,0 days 00:01:33.599000,0.858
5,HAM,44,Ferrari,94.129,24.913,28.099,41.117,261.0,SOFT,0 days 00:01:34.129000,1.388
6,BEA,87,Haas F1 Team,94.426,24.937,28.381,41.108,258.0,SOFT,0 days 00:01:34.426000,1.685
7,VER,3,Red Bull Racing,94.541,24.709,28.499,41.333,262.0,SOFT,0 days 00:01:34.541000,1.8
8,HUL,27,Audi,94.639,24.951,28.682,41.006,266.0,SOFT,0 days 00:01:34.639000,1.898
9,GAS,10,Alpine,94.676,24.675,28.285,41.716,254.0,SOFT,0 days 00:01:34.676000,1.935
10,LAW,30,Racing Bulls,94.773,24.721,28.964,41.088,262.0,SOFT,0 days 00:01:34.773000,2.032
11,BOR,5,Audi,94.828,25.02,28.689,41.119,256.0,SOFT,0 days 00:01:34.828000,2.087
12,HAD,6,Red Bull Racing,94.856,25.0,28.672,41.184,254.0,SOFT,0 days 00:01:34.856000,2.115
13,OCO,31,Haas F1 Team,94.877,24.895,28.435,41.547,262.0,SOFT,0 days 00:01:34.877000,2.136
14,COL,43,Alpine,94.947,25.088,28.757,41.102,260.0,SOFT,0 days 00:01:34.947000,2.206
15,ALB,23,Williams,95.48,24.941,29.038,41.501,257.0,SOFT,0 days 00:01:35.480000,2.739
16,SAI,55,Williams,95.679,24.903,29.049,41.727,251.0,SOFT,0 days 00:01:35.679000,2.938
17,ALO,14,Aston Martin,95.856,24.944,28.854,42.058,251.0,MEDIUM,0 days 00:01:35.856000,3.115
18,BOT,77,Cadillac,96.057,25.316,28.848,41.893,255.0,SOFT,0 days 00:01:36.057000,3.316
19,STR,18,Aston Martin,97.224,25.709,29.254,42.261,250.0,MEDIUM,0 days 00:01:37.224000,4.483
20,LIN,41,Racing Bulls,97.896,25.753,29.525,42.618,276.0,MEDIUM,0 days 00:01:37.896000,5.155
21,PER,11,Cadillac,99.2,26.3,29.813,43.087,252.0,MEDIUM,0 days 00:01:39.200000,6.459
