Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Time_s
0 days 00:00:21.976000,11.8,40.8,1030.3,False,11.2,294,0.7,21.976
0 days 00:01:21.984000,11.8,40.8,1030.3,False,11.2,294,0.7,81.984
0 days 00:02:21.984000,11.8,40.8,1030.3,False,11.6,210,0.9,141.984
0 days 00:03:21.997000,12.0,40.7,1030.3,False,10.9,216,0.9,201.997
0 days 00:04:21.979000,11.8,41.5,1030.3,False,11.5,166,0.4,261.979
0 days 00:05:21.979000,11.6,41.5,1030.3,False,12.7,0,0.0,321.979
0 days 00:06:21.985000,11.8,41.7,1030.3,False,12.4,168,0.7,381.985
0 days 00:07:21.998000,12.0,41.8,1030.3,False,13.5,0,0.0,441.998
0 days 00:08:22.008000,12.1,41.5,1030.2,False,14.0,242,0.7,502.008
0 days 00:09:22.042000,12.1,40.8,1030.3,False,14.2,212,0.5,562.042
0 days 00:10:22.035000,12.3,40.7,1030.1,False,14.4,230,0.7,622.035
0 days 00:11:22.050000,12.0,41.1,1030.2,False,14.8,0,0.0,682.05
0 days 00:12:22.045000,12.0,41.1,1030.2,False,14.8,0,0.0,742.045
0 days 00:13:22.040000,12.2,41.1,1030.2,False,16.0,249,1.2,802.04
0 days 00:14:22.036000,12.5,40.9,1030.1,False,16.4,235,1.8,862.036
0 days 00:15:22.040000,12.3,41.3,1030.1,False,16.3,242,1.3,922.04
0 days 00:16:22.045000,12.4,40.6,1030.1,False,16.8,235,1.1,982.045
0 days 00:17:22.056000,12.4,40.5,1030.1,False,17.0,85,0.5,1042.056
0 days 00:18:22.081000,12.7,39.5,1030.0,False,17.1,91,1.0,1102.081
0 days 00:19:22.081000,12.8,39.2,1030.1,False,17.7,90,1.4,1162.081
0 days 00:20:22.070000,12.8,38.1,1030.0,False,18.1,74,1.8,1222.07
0 days 00:21:22.091000,12.8,38.1,1030.0,False,18.1,74,1.8,1282.091
0 days 00:22:22.087000,12.6,39.0,1030.0,False,18.5,22,1.3,1342.087
0 days 00:23:22.102000,12.6,39.0,1030.0,False,18.5,22,1.3,1402.102
0 days 00:24:22.109000,12.8,39.5,1029.9,False,19.0,89,2.3,1462.109
0 days 00:25:22.100000,12.9,40.0,1029.8,False,19.4,56,2.6,1522.1
0 days 00:26:22.087000,12.9,38.3,1029.8,False,19.5,75,2.0,1582.087
0 days 00:27:22.100000,12.9,38.7,1029.7,False,19.7,53,2.3,1642.1
0 days 00:28:22.124000,13.0,38.5,1029.7,False,19.8,52,2.3,1702.124
0 days 00:29:22.117000,12.8,38.4,1029.7,False,19.6,34,1.7,1762.117
0 days 00:30:22.136000,12.8,39.0,1029.6,False,20.3,58,2.4,1822.136
0 days 00:31:22.127000,12.8,39.1,1029.7,False,20.6,74,1.9,1882.127
0 days 00:32:22.127000,12.7,38.6,1029.7,False,20.8,67,1.8,1942.127
0 days 00:33:22.135000,12.8,38.3,1029.6,False,21.0,76,3.0,2002.135
0 days 00:34:22.144000,12.8,38.3,1029.6,False,21.0,76,3.0,2062.144
0 days 00:35:22.175000,12.8,37.1,1029.6,False,21.2,79,1.8,2122.175
0 days 00:36:22.177000,13.0,37.3,1029.6,False,21.5,73,2.1,2182.177
0 days 00:37:22.181000,13.1,37.0,1029.5,False,21.5,86,2.1,2242.181
0 days 00:38:22.181000,13.1,37.3,1029.6,False,21.6,78,2.3,2302.181
0 days 00:39:22.165000,13.2,37.3,1029.6,False,21.7,84,2.3,2362.165
0 days 00:40:22.177000,13.1,36.3,1029.6,False,22.1,63,1.4,2422.177
0 days 00:41:22.210000,13.1,37.1,1029.5,False,21.9,80,2.3,2482.21
0 days 00:42:22.208000,13.1,36.8,1029.6,False,21.8,88,1.4,2542.208
0 days 00:43:22.209000,13.0,36.5,1029.5,False,22.0,85,1.8,2602.209
0 days 00:44:22.222000,13.0,36.0,1029.5,False,22.3,84,2.1,2662.222
