Driver,DriverNumber,fp1_laptime,fp1_s1,fp1_s2,fp1_s3,fp1_speed,fp1_gap,sq_laptime,sq_s1,sq_s2,sq_s3,sq_speed,sq_gap,sprint_laptime,sprint_s1,sprint_s2,sprint_s3,sprint_speed,sprint_gap,quali_laptime,quali_s1,quali_s2,quali_s3,quali_speed,quali_gap,Q1_s,Q2_s,Q3_s,eliminated_Q1,eliminated_Q2,reached_Q3,sprint_pos,sprint_status,sprint_points,Team,race_pos,classified_pos,grid_pos,race_status,race_points,race_laps,dnf,finished,positions_gained,pit_stops,first_pit,last_pit,race_fastest_s,race_fastest_speed,race_fastest_compound,fp1_to_sq_delta,sq_to_quali_delta,quali_vs_sprint,sq_sector_std,sprint_sector_std,sprint_pos_gained
ANT,12,92.861,24.267,27.943,40.651,255.0,0.12,91.809,23.998,27.598,40.213,257.0,0.289,94.76,25.089,28.746,40.925,276.0,0.007,92.064,24.013,27.664,40.387,253.0,0.0,93.305,92.443,92.064,False,False,True,5.0,Finished,4.0,Mercedes,1.0,1,1.0,Finished,25.0,56.0,False,True,0.0,1.0,10.0,10.0,95.275,273.0,HARD,1.0520000000000067,-0.25499999999999545,-2.696000000000012,8.514932471840279,8.29136685555122,-4.0
RUS,63,92.741,24.414,27.911,40.416,257.0,0.0,91.52,23.962,27.569,39.989,260.0,0.0,95.101,25.019,28.661,41.421,277.0,0.348,92.286,24.012,27.783,40.491,256.0,0.222,93.262,92.523,92.286,False,False,True,1.0,Finished,8.0,Mercedes,2.0,2,2.0,Finished,18.0,56.0,False,True,0.0,1.0,10.0,10.0,95.4,258.0,HARD,1.2210000000000036,-0.7660000000000053,-2.8149999999999977,8.407651059203952,8.61304599623927,1.0
HAM,44,94.129,24.913,28.099,41.117,261.0,1.388,92.161,24.11,27.694,40.357,266.0,0.641,94.926,24.816,28.488,41.622,274.0,0.173,92.415,24.184,27.696,40.535,257.0,0.351,93.522,92.567,92.415,False,False,True,3.0,Finished,6.0,Ferrari,3.0,3,3.0,Finished,15.0,56.0,False,True,0.0,1.0,10.0,10.0,96.092,276.0,HARD,1.9680000000000035,-0.2540000000000049,-2.5109999999999957,8.53582288554146,8.835790626763403,0.0
LEC,16,93.599,24.637,28.205,40.757,257.0,0.858,92.528,24.105,27.77,40.653,252.0,1.008,94.753,24.811,28.523,41.419,260.0,0.0,92.428,24.118,27.66,40.65,256.0,0.364,93.175,92.486,92.428,False,False,True,2.0,Finished,7.0,Ferrari,4.0,4,4.0,Finished,12.0,56.0,False,True,0.0,1.0,10.0,10.0,96.011,277.0,HARD,1.070999999999998,0.10000000000000853,-2.325000000000003,8.691377125250826,8.716951148958751,2.0
BEA,87,94.426,24.937,28.381,41.108,258.0,1.685,93.409,24.401,28.079,40.929,262.0,1.889,97.374,25.378,29.567,42.429,278.0,2.621,93.197,24.348,27.847,41.002,265.0,1.133,93.687,93.197,93.292,False,False,True,8.0,Finished,1.0,Haas F1 Team,5.0,5,10.0,Finished,10.0,56.0,False,True,5.0,1.0,10.0,10.0,96.429,254.0,HARD,1.016999999999996,0.2120000000000033,-4.1769999999999925,8.67779703227342,8.88552536432146,2.0
GAS,10,94.676,24.675,28.285,41.716,254.0,1.935,92.888,24.293,27.84,40.755,253.0,1.368,98.349,25.971,29.767,42.611,274.0,3.596,92.873,24.185,27.788,40.9,252.0,0.809,93.788,93.003,92.873,False,False,True,11.0,Finished,0.0,Alpine,6.0,6,7.0,Finished,8.0,56.0,False,True,1.0,1.0,10.0,10.0,96.505,277.0,HARD,1.7879999999999967,0.015000000000000568,-5.475999999999999,8.66387017061852,8.72035503864378,-4.0
LAW,30,94.773,24.721,28.964,41.088,262.0,2.032,93.714,24.645,28.293,40.776,269.0,2.194,97.882,25.559,29.782,42.541,274.0,3.129,93.765,24.634,28.157,40.974,262.0,1.701,94.139,93.765,,False,True,False,7.0,Finished,2.0,Racing Bulls,7.0,7,14.0,Finished,6.0,56.0,False,True,7.0,1.0,9.0,9.0,97.096,280.0,HARD,1.0589999999999975,-0.05100000000000193,-4.117000000000004,8.459140559182122,8.841324693355249,7.0
HAD,6,94.856,25.0,28.672,41.184,254.0,2.115,93.62,24.65,28.477,40.493,267.0,2.1,96.912,25.244,29.573,42.095,282.0,2.159,93.121,24.529,27.933,40.659,260.0,1.057,93.632,93.352,93.121,False,False,True,15.0,Finished,0.0,Red Bull Racing,8.0,8,9.0,Finished,4.0,56.0,False,True,1.0,2.0,1.0,10.0,97.311,272.0,HARD,1.23599999999999,0.49900000000000944,-3.791000000000011,8.266708675968529,8.751161122959626,-6.0
SAI,55,95.679,24.903,29.049,41.727,251.0,2.938,94.761,24.801,28.792,41.168,256.0,3.241,97.913,25.962,29.662,42.289,276.0,3.16,94.317,24.465,28.669,41.183,253.0,2.253,94.317,,,True,False,False,12.0,Finished,0.0,Williams,9.0,9,17.0,Lapped,2.0,55.0,False,False,8.0,1.0,9.0,9.0,97.981,270.0,HARD,0.9180000000000064,0.4440000000000026,-3.5960000000000036,8.533972755991199,8.560588550639105,5.0
COL,43,94.947,25.088,28.757,41.102,260.0,2.206,94.327,24.681,28.7,40.946,254.0,2.807,97.278,25.497,29.625,42.156,281.0,2.525,93.357,24.254,28.078,41.025,250.0,1.293,93.634,93.357,,False,True,False,14.0,Finished,0.0,Alpine,10.0,10,12.0,Lapped,1.0,55.0,False,False,2.0,1.0,32.0,32.0,96.783,273.0,MEDIUM,0.6200000000000045,0.9699999999999989,-3.9210000000000065,8.472180966748368,8.675527130958672,-2.0
HUL,27,94.639,24.951,28.682,41.006,266.0,1.898,93.635,24.701,28.261,40.673,267.0,2.115,98.027,25.742,29.744,42.541,275.0,3.274,93.354,24.592,27.937,40.825,271.0,1.29,94.116,93.354,,False,True,False,20.0,Retired,0.0,Audi,11.0,11,11.0,Lapped,0.0,55.0,False,False,0.0,1.0,35.0,35.0,96.18,272.0,MEDIUM,1.0039999999999907,0.2810000000000059,-4.673000000000002,8.384868593683109,8.774827766590823,-9.0
LIN,41,97.896,25.753,29.525,42.618,276.0,5.155,94.048,24.74,28.531,40.777,271.0,2.528,98.475,25.804,30.031,42.64,276.0,3.722,93.784,24.492,28.254,41.038,261.0,1.72,93.906,93.784,,False,True,False,22.0,Retired,0.0,Racing Bulls,12.0,12,15.0,Lapped,0.0,55.0,False,False,3.0,1.0,42.0,42.0,96.099,278.0,MEDIUM,3.847999999999999,0.2639999999999958,-4.690999999999988,8.381741724327549,8.758855575929998,-7.0
BOT,77,96.057,25.316,28.848,41.893,255.0,3.316,97.378,25.11,29.157,43.111,237.0,5.858,99.262,26.159,30.349,42.754,274.0,4.509,95.436,24.949,28.972,41.515,260.0,3.372,95.436,,,True,False,False,21.0,Retired,0.0,Cadillac,13.0,13,19.0,Lapped,0.0,55.0,False,False,6.0,1.0,10.0,10.0,98.393,271.0,HARD,-1.320999999999998,1.941999999999993,-3.8259999999999934,9.443942732425546,8.62973686350478,-2.0
OCO,31,94.877,24.895,28.435,41.547,262.0,2.136,93.639,24.553,28.184,40.902,256.0,2.119,97.363,25.463,29.618,42.282,273.0,2.61,93.538,24.344,28.064,41.13,258.0,1.474,93.974,93.538,,False,True,False,10.0,Finished,0.0,Haas F1 Team,14.0,14,13.0,Lapped,0.0,55.0,False,False,-1.0,2.0,29.0,46.0,95.964,278.0,SOFT,1.2379999999999995,0.10099999999999909,-3.825000000000003,8.58507897459307,8.760894950479276,3.0
PER,11,99.2,26.3,29.813,43.087,252.0,6.459,,,,,,,98.862,25.757,30.275,42.83,278.0,4.109,96.906,26.049,29.246,41.611,263.0,4.842,96.906,,,True,False,False,19.0,Finished,0.0,Cadillac,15.0,15,21.0,Lapped,0.0,55.0,False,False,6.0,1.0,11.0,11.0,98.523,272.0,HARD,1.070999999999998,0.2120000000000033,-1.9559999999999889,,8.846163744810514,2.0
VER,3,94.541,24.709,28.499,41.333,262.0,1.8,93.254,24.404,28.258,40.592,263.0,1.734,95.774,25.132,29.135,41.507,273.0,1.021,93.002,24.359,27.975,40.668,262.0,0.938,93.417,93.098,93.002,False,False,True,9.0,Finished,0.0,Red Bull Racing,16.0,R,8.0,Retired,0.0,45.0,True,False,-8.0,2.0,9.0,45.0,97.046,276.0,HARD,1.286999999999992,0.25200000000000955,-2.7720000000000056,8.4560847520193,8.536500239169053,-1.0
ALO,14,95.856,24.944,28.854,42.058,251.0,3.115,95.581,25.123,28.884,41.574,256.0,4.061,98.487,25.589,30.453,42.445,266.0,3.734,95.203,24.782,28.723,41.698,249.0,3.139,95.203,,,True,False,False,17.0,Finished,0.0,Aston Martin,17.0,R,18.0,Retired,0.0,32.0,True,False,1.0,2.0,31.0,32.0,99.721,266.0,HARD,0.2749999999999915,0.3780000000000001,-3.283999999999992,8.619905471252762,8.675552777777334,1.0
STR,18,97.224,25.709,29.254,42.261,250.0,4.483,96.151,25.256,29.04,41.855,249.0,4.631,98.532,25.863,29.875,42.794,263.0,3.779,95.995,24.953,29.204,41.838,251.0,3.931,95.995,,,True,False,False,18.0,Finished,0.0,Aston Martin,18.0,R,20.0,Retired,0.0,9.0,True,False,2.0,,,,100.883,263.0,HARD,1.0730000000000075,0.1559999999999917,-2.536999999999992,8.699326429864172,8.847367461567309,2.0
PIA,81,93.472,24.545,28.164,40.763,259.0,0.731,92.224,23.913,27.793,40.518,258.0,0.704,95.635,25.041,28.949,41.645,267.0,0.882,92.55,24.12,27.729,40.701,257.0,0.486,93.59,93.13,92.55,False,False,True,6.0,Finished,3.0,McLaren,19.0,W,5.0,Did not start,0.0,0.0,True,False,-14.0,,,,,,,1.2479999999999905,-0.3259999999999934,-3.085000000000008,8.686253987383362,8.6809532502677,-1.0
NOR,1,93.296,24.358,28.258,40.68,257.0,0.555,92.141,23.961,27.616,40.564,259.0,0.621,95.708,25.106,28.88,41.722,274.0,0.955,92.608,24.078,27.782,40.748,258.0,0.544,93.535,92.91,92.608,False,False,True,4.0,Finished,5.0,McLaren,20.0,W,6.0,Did not start,0.0,0.0,True,False,-14.0,,,,,,,1.1550000000000011,-0.46699999999999875,-3.0999999999999943,8.72419373543099,8.710640007102425,2.0
BOR,5,94.828,25.02,28.689,41.119,256.0,2.087,93.774,24.568,28.445,40.761,257.0,2.254,97.8,25.721,29.856,42.223,277.0,3.047,93.549,24.539,28.214,40.796,260.0,1.485,93.549,93.965,,False,True,False,13.0,Finished,0.0,Audi,21.0,W,16.0,Did not start,0.0,0.0,True,False,-5.0,,,,,,,1.054000000000002,0.22499999999999432,-4.250999999999991,8.455059964305399,8.586393480385114,3.0
ALB,23,95.48,24.941,29.038,41.501,257.0,2.739,95.305,24.828,29.03,41.447,257.0,3.785,98.158,25.592,29.597,42.969,276.0,3.405,94.772,24.526,28.876,41.37,253.0,2.708,94.772,,,True,False,False,16.0,Finished,0.0,Williams,22.0,W,22.0,Did not start,0.0,0.0,True,False,0.0,,,,,,,0.17499999999999716,0.5330000000000013,-3.3859999999999957,8.641275503843941,9.099547040008824,6.0
