session,Driver,DriverNumber,Team,LapNumber,LapTime_s,Sector1Time_s,Sector2Time_s,Sector3Time_s,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,FreshTyre,IsPersonalBest,TrackStatus,session_order
FP1,ALB,23,Williams,2.0,107.953,27.35,32.25,48.353,272.0,258.0,269.0,260.0,MEDIUM,2.0,True,True,12,1
FP1,ALB,23,Williams,3.0,97.771,25.762,29.648,42.361,284.0,267.0,248.0,314.0,MEDIUM,3.0,True,True,1,1
FP1,ALB,23,Williams,4.0,119.701,31.831,35.859,52.011,215.0,250.0,273.0,294.0,MEDIUM,4.0,True,False,1,1
FP1,ALB,23,Williams,5.0,134.654,25.32,36.828,72.506,285.0,184.0,272.0,188.0,MEDIUM,5.0,True,False,167,1
FP1,ALB,23,Williams,6.0,96.738,25.233,29.43,42.075,280.0,267.0,253.0,314.0,MEDIUM,6.0,True,True,1,1
FP1,ALB,23,Williams,8.0,118.072,29.716,34.425,53.931,266.0,237.0,246.0,280.0,MEDIUM,8.0,True,False,6,1
FP1,ALB,23,Williams,9.0,111.485,29.463,31.67,50.352,259.0,256.0,272.0,256.0,MEDIUM,9.0,True,False,671,1
FP1,ALB,23,Williams,10.0,107.384,26.337,31.662,49.385,272.0,262.0,274.0,283.0,MEDIUM,10.0,True,False,1,1
FP1,ALB,23,Williams,11.0,96.494,25.366,29.302,41.826,279.0,268.0,253.0,313.0,MEDIUM,11.0,True,True,1,1
FP1,ALB,23,Williams,12.0,118.202,29.007,35.837,53.358,235.0,253.0,,273.0,MEDIUM,12.0,True,False,1,1
FP1,ALB,23,Williams,15.0,98.108,25.971,29.77,42.367,286.0,266.0,272.0,329.0,MEDIUM,15.0,False,False,1,1
FP1,ALB,23,Williams,16.0,98.268,26.111,29.698,42.459,279.0,259.0,269.0,316.0,MEDIUM,16.0,False,False,1,1
FP1,ALB,23,Williams,17.0,98.301,26.127,29.802,42.372,278.0,263.0,269.0,317.0,MEDIUM,17.0,False,False,1,1
FP1,ALB,23,Williams,18.0,99.37,26.099,30.071,43.2,279.0,267.0,264.0,314.0,MEDIUM,18.0,False,False,1,1
FP1,ALB,23,Williams,19.0,98.751,26.157,29.888,42.706,279.0,265.0,272.0,307.0,MEDIUM,19.0,False,False,1,1
FP1,ALB,23,Williams,20.0,98.304,26.098,29.732,42.474,279.0,269.0,273.0,308.0,MEDIUM,20.0,False,False,1,1
FP1,ALB,23,Williams,21.0,109.038,26.127,30.071,52.84,280.0,269.0,,242.0,MEDIUM,21.0,False,False,1,1
