,Driver,DriverNumber,Team,LapTime_s,Sector1Time_s,Sector2Time_s,Sector3Time_s,SpeedFL,Compound,LapTime,Gap_to_Best_s
0,ANT,12,Mercedes,92.064,24.013,27.664,40.387,253.0,SOFT,0 days 00:01:32.064000,0.0
1,RUS,63,Mercedes,92.286,24.012,27.783,40.491,256.0,SOFT,0 days 00:01:32.286000,0.222
2,HAM,44,Ferrari,92.415,24.184,27.696,40.535,257.0,SOFT,0 days 00:01:32.415000,0.351
3,LEC,16,Ferrari,92.428,24.118,27.66,40.65,256.0,SOFT,0 days 00:01:32.428000,0.364
4,PIA,81,McLaren,92.55,24.12,27.729,40.701,257.0,SOFT,0 days 00:01:32.550000,0.486
5,NOR,1,McLaren,92.608,24.078,27.782,40.748,258.0,SOFT,0 days 00:01:32.608000,0.544
6,GAS,10,Alpine,92.873,24.185,27.788,40.9,252.0,SOFT,0 days 00:01:32.873000,0.809
7,VER,3,Red Bull Racing,93.002,24.359,27.975,40.668,262.0,SOFT,0 days 00:01:33.002000,0.938
8,HAD,6,Red Bull Racing,93.121,24.529,27.933,40.659,260.0,SOFT,0 days 00:01:33.121000,1.057
9,BEA,87,Haas F1 Team,93.197,24.348,27.847,41.002,265.0,SOFT,0 days 00:01:33.197000,1.133
10,HUL,27,Audi,93.354,24.592,27.937,40.825,271.0,SOFT,0 days 00:01:33.354000,1.29
11,COL,43,Alpine,93.357,24.254,28.078,41.025,250.0,SOFT,0 days 00:01:33.357000,1.293
12,OCO,31,Haas F1 Team,93.538,24.344,28.064,41.13,258.0,SOFT,0 days 00:01:33.538000,1.474
13,BOR,5,Audi,93.549,24.539,28.214,40.796,260.0,SOFT,0 days 00:01:33.549000,1.485
14,LAW,30,Racing Bulls,93.765,24.634,28.157,40.974,262.0,SOFT,0 days 00:01:33.765000,1.701
15,LIN,41,Racing Bulls,93.784,24.492,28.254,41.038,261.0,SOFT,0 days 00:01:33.784000,1.72
16,SAI,55,Williams,94.317,24.465,28.669,41.183,253.0,SOFT,0 days 00:01:34.317000,2.253
17,ALB,23,Williams,94.772,24.526,28.876,41.37,253.0,SOFT,0 days 00:01:34.772000,2.708
18,ALO,14,Aston Martin,95.203,24.782,28.723,41.698,249.0,SOFT,0 days 00:01:35.203000,3.139
19,BOT,77,Cadillac,95.436,24.949,28.972,41.515,260.0,SOFT,0 days 00:01:35.436000,3.372
20,STR,18,Aston Martin,95.995,24.953,29.204,41.838,251.0,SOFT,0 days 00:01:35.995000,3.931
21,PER,11,Cadillac,96.906,26.049,29.246,41.611,263.0,SOFT,0 days 00:01:36.906000,4.842
