Driver,DriverNumber,Team,LapNumber,LapTime_s,Sector1Time_s,Sector2Time_s,Sector3Time_s,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,FreshTyre,IsPersonalBest,TrackStatus,PitInTime_s,PitOutTime_s
ANT,12,Mercedes,1.0,,,31.796,52.366,223.0,262.0,276.0,227.0,SOFT,1.0,True,False,1,,1271.543
ANT,12,Mercedes,2.0,93.305,24.288,28.048,40.969,283.0,276.0,260.0,311.0,SOFT,2.0,True,True,1,,
ANT,12,Mercedes,3.0,122.47,35.87,33.268,53.332,168.0,243.0,,202.0,SOFT,3.0,True,False,1,1596.396,
ANT,12,Mercedes,4.0,,,30.815,45.794,241.0,260.0,278.0,243.0,SOFT,4.0,False,False,1,,2394.384
ANT,12,Mercedes,5.0,92.95,24.156,27.861,40.933,285.0,272.0,251.0,311.0,SOFT,5.0,False,True,1,,
ANT,12,Mercedes,6.0,145.284,29.606,56.034,59.644,118.0,240.0,,101.0,SOFT,6.0,False,False,1,2733.957,
ANT,12,Mercedes,7.0,,,36.839,45.507,253.0,261.0,280.0,249.0,SOFT,1.0,True,False,1,,3016.034
ANT,12,Mercedes,8.0,92.443,24.141,27.726,40.576,286.0,279.0,256.0,314.0,SOFT,2.0,True,True,1,,
ANT,12,Mercedes,9.0,121.273,30.445,37.844,52.984,228.0,255.0,,293.0,SOFT,3.0,True,False,12,3340.144,
ANT,12,Mercedes,10.0,,,30.145,45.507,243.0,263.0,278.0,240.0,SOFT,1.0,True,False,12,,3713.555
ANT,12,Mercedes,11.0,92.322,24.003,27.714,40.605,285.0,273.0,251.0,310.0,SOFT,2.0,True,True,1,,
ANT,12,Mercedes,12.0,108.256,27.758,31.08,49.418,244.0,249.0,,290.0,SOFT,3.0,True,False,1,4015.066,
ANT,12,Mercedes,13.0,,,30.303,44.716,223.0,255.0,279.0,250.0,SOFT,1.0,True,False,1,,4250.568
ANT,12,Mercedes,14.0,92.064,24.013,27.664,40.387,286.0,276.0,253.0,308.0,SOFT,2.0,True,True,1,,
ANT,12,Mercedes,15.0,118.062,28.716,31.585,57.761,229.0,233.0,,278.0,SOFT,3.0,True,False,1,4557.507,
RUS,63,Mercedes,1.0,,,31.251,50.605,253.0,261.0,279.0,249.0,SOFT,1.0,True,False,1,,1288.268
RUS,63,Mercedes,2.0,93.262,24.208,28.109,40.945,289.0,278.0,256.0,311.0,SOFT,2.0,True,True,1,,
RUS,63,Mercedes,3.0,131.474,38.378,37.882,55.214,180.0,263.0,,293.0,SOFT,3.0,True,False,1,1619.861,
RUS,63,Mercedes,4.0,,,30.505,46.921,256.0,263.0,279.0,253.0,SOFT,4.0,False,False,1,,2400.447
RUS,63,Mercedes,5.0,92.523,24.085,27.868,40.57,285.0,270.0,258.0,317.0,SOFT,5.0,False,True,1,,
RUS,63,Mercedes,6.0,116.245,29.371,34.46,52.414,190.0,266.0,,296.0,SOFT,6.0,False,False,1,2714.617,
RUS,63,Mercedes,7.0,,,30.502,49.316,222.0,253.0,280.0,252.0,SOFT,1.0,True,False,1,,3026.193
RUS,63,Mercedes,8.0,117.937,26.726,41.01,50.201,202.0,203.0,256.0,281.0,SOFT,2.0,True,False,12,,
RUS,63,Mercedes,9.0,105.617,24.539,29.898,51.18,285.0,273.0,,292.0,SOFT,3.0,True,False,21,3358.01,
RUS,63,Mercedes,10.0,,,58.848,94.919,98.0,102.0,,100.0,SOFT,1.0,True,False,12,3954.683,3717.563
RUS,63,Mercedes,11.0,,,29.114,47.818,258.0,264.0,281.0,236.0,SOFT,1.0,True,False,1,,4364.613
RUS,63,Mercedes,12.0,92.286,24.012,27.783,40.491,282.0,272.0,256.0,309.0,SOFT,2.0,True,True,1,,
RUS,63,Mercedes,13.0,132.756,35.643,35.242,61.871,195.0,215.0,,219.0,SOFT,3.0,True,False,1,4691.21,
HAM,44,Ferrari,1.0,,,30.734,53.902,269.0,230.0,270.0,200.0,MEDIUM,6.0,False,False,1,,991.545
HAM,44,Ferrari,2.0,95.892,24.728,29.555,41.609,276.0,259.0,258.0,307.0,MEDIUM,7.0,False,True,1,,
HAM,44,Ferrari,3.0,118.798,29.407,31.384,58.007,270.0,263.0,,259.0,MEDIUM,8.0,False,False,1,1316.465,
HAM,44,Ferrari,4.0,,84.688,32.719,48.64,274.0,268.0,276.0,252.0,SOFT,1.0,True,False,1,,1370.179
HAM,44,Ferrari,5.0,93.522,24.336,28.133,41.053,271.0,275.0,252.0,308.0,SOFT,2.0,True,True,1,,
HAM,44,Ferrari,6.0,131.966,35.543,37.622,58.801,190.0,229.0,,250.0,SOFT,3.0,True,False,1,1709.665,
HAM,44,Ferrari,7.0,,,31.127,51.44,263.0,174.0,276.0,246.0,SOFT,4.0,False,False,1,,2416.702
HAM,44,Ferrari,8.0,92.834,24.21,27.771,40.853,270.0,272.0,255.0,307.0,SOFT,5.0,False,True,1,,
HAM,44,Ferrari,9.0,115.967,30.675,33.993,51.299,231.0,251.0,,259.0,SOFT,6.0,False,False,1,2737.53,
HAM,44,Ferrari,10.0,,,30.359,49.481,269.0,266.0,277.0,220.0,SOFT,1.0,True,False,1,,2903.728
HAM,44,Ferrari,11.0,92.567,24.156,27.807,40.604,270.0,273.0,255.0,306.0,SOFT,2.0,True,True,1,,
HAM,44,Ferrari,12.0,126.863,30.666,36.637,59.56,228.0,205.0,276.0,253.0,SOFT,3.0,True,False,1,,
HAM,44,Ferrari,13.0,106.805,24.28,27.826999999999998,54.698,269.0,271.0,,310.0,SOFT,4.0,True,False,12,3338.783,
HAM,44,Ferrari,14.0,,,32.91,46.685,267.0,252.0,277.0,244.0,SOFT,1.0,True,False,12,,3732.713
HAM,44,Ferrari,15.0,93.02,24.08,28.236,40.704,269.0,264.0,255.0,312.0,SOFT,2.0,True,True,1,,
HAM,44,Ferrari,16.0,116.241,31.267,30.753,54.221,243.0,238.0,,286.0,SOFT,3.0,True,False,1,4050.082,
HAM,44,Ferrari,17.0,,,31.158,50.488,271.0,263.0,276.0,190.0,SOFT,1.0,True,False,1,,4269.818
HAM,44,Ferrari,18.0,92.415,24.184,27.696,40.535,269.0,274.0,257.0,303.0,SOFT,2.0,True,True,1,,
HAM,44,Ferrari,19.0,130.702,30.786,33.478,66.438,209.0,205.0,,209.0,SOFT,3.0,True,False,1,4602.983,
LEC,16,Ferrari,1.0,,,31.771,56.876,276.0,256.0,272.0,240.0,SOFT,10.0,False,False,1,,981.239
LEC,16,Ferrari,2.0,94.507,24.723,28.384,41.4,274.0,266.0,262.0,304.0,SOFT,11.0,False,True,1,,
LEC,16,Ferrari,3.0,114.827,28.027,33.764,53.036,204.0,190.0,275.0,178.0,SOFT,12.0,False,False,1,,
LEC,16,Ferrari,4.0,104.077,24.649,28.29,51.138,272.0,271.0,,302.0,SOFT,13.0,False,False,1,1410.669,
LEC,16,Ferrari,5.0,,88.706,31.072,50.762,264.0,214.0,277.0,134.0,SOFT,1.0,True,False,1,,1472.759
LEC,16,Ferrari,6.0,93.175,24.376,28.073,40.726,273.0,267.0,259.0,310.0,SOFT,2.0,True,True,1,,
LEC,16,Ferrari,7.0,118.354,30.91,32.421,55.023,277.0,255.0,,267.0,SOFT,3.0,True,False,1,1793.177,
LEC,16,Ferrari,8.0,,,36.638,47.334,279.0,274.0,278.0,245.0,SOFT,4.0,False,False,1,,2406.306
LEC,16,Ferrari,9.0,92.902,24.208,27.849,40.845,273.0,261.0,259.0,304.0,SOFT,5.0,False,True,1,,
LEC,16,Ferrari,10.0,112.202,28.413,32.511,51.278,280.0,274.0,,281.0,SOFT,6.0,False,False,1,2724.942,
LEC,16,Ferrari,11.0,,,33.159,47.485,270.0,263.0,278.0,243.0,SOFT,1.0,True,False,1,,2896.158
LEC,16,Ferrari,12.0,92.486,24.022,27.729,40.735,273.0,266.0,260.0,304.0,SOFT,2.0,True,True,1,,
LEC,16,Ferrari,13.0,122.599,30.177,40.409,52.013,198.0,153.0,282.0,206.0,SOFT,3.0,True,False,1,,
LEC,16,Ferrari,14.0,107.894,24.403,28.407,55.084,281.0,241.0,,282.0,SOFT,4.0,True,False,12,3328.296,
