Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Time_s
0 days 00:00:18.401000,17.6,36.5,1023.7,False,32.3,65,3.9,18.401
0 days 00:01:18.410000,17.6,36.2,1023.6,False,32.4,68,3.8,78.41
0 days 00:02:18.417000,17.6,36.0,1023.7,False,32.3,68,2.7,138.417
0 days 00:03:18.420000,17.6,36.0,1023.7,False,32.3,68,2.7,198.42
0 days 00:04:18.399000,17.7,35.5,1023.5,False,32.5,30,3.2,258.399
0 days 00:05:18.402000,17.7,35.0,1023.6,False,32.5,46,2.8,318.402
0 days 00:06:18.421000,17.7,34.5,1023.6,False,32.4,60,4.0,378.421
0 days 00:07:18.417000,17.7,34.6,1023.6,False,32.2,31,2.7,438.417
0 days 00:08:18.415000,17.7,34.6,1023.6,False,31.8,43,5.3,498.415
0 days 00:09:18.413000,17.7,34.9,1023.5,False,31.7,49,4.9,558.413
0 days 00:10:18.412000,17.6,35.7,1023.6,False,32.0,58,3.1,618.412
0 days 00:11:18.403000,17.7,35.1,1023.6,False,32.2,67,1.9,678.403
0 days 00:12:18.417000,17.6,34.6,1023.7,False,32.3,60,1.3,738.417
0 days 00:13:18.416000,17.8,34.3,1023.5,False,32.0,59,3.1,798.416
0 days 00:14:18.435000,17.8,34.3,1023.5,False,32.0,59,3.1,858.435
0 days 00:15:18.453000,17.8,34.9,1023.5,False,31.8,36,3.6,918.453
0 days 00:16:18.444000,17.7,35.0,1023.5,False,32.0,52,3.5,978.444
0 days 00:17:18.451000,17.7,35.1,1023.5,False,31.7,71,2.8,1038.451
0 days 00:18:18.457000,17.7,34.7,1023.5,False,32.1,65,2.6,1098.457
0 days 00:19:18.474000,17.8,34.3,1023.5,False,32.3,61,1.8,1158.474
0 days 00:20:18.463000,17.8,34.5,1023.6,False,32.3,64,2.6,1218.463
0 days 00:21:18.465000,17.8,33.9,1023.4,False,31.8,59,5.2,1278.465
0 days 00:22:18.461000,17.9,33.3,1023.4,False,31.6,59,3.3,1338.461
0 days 00:23:18.464000,17.9,33.1,1023.5,False,31.7,65,3.1,1398.464
0 days 00:24:18.465000,17.9,33.5,1023.5,False,31.9,67,1.9,1458.465
0 days 00:25:18.484000,17.9,33.5,1023.5,False,31.9,67,1.9,1518.484
0 days 00:26:18.514000,17.8,33.6,1023.5,False,32.1,65,2.1,1578.514
0 days 00:27:18.531000,17.8,33.4,1023.6,False,32.3,72,1.7,1638.531
0 days 00:28:18.532000,17.9,33.4,1023.6,False,32.3,88,2.1,1698.532
0 days 00:29:18.527000,18.0,33.0,1023.7,False,32.2,64,1.6,1758.527
0 days 00:30:18.521000,18.0,33.5,1023.5,False,32.2,52,2.6,1818.521
0 days 00:31:18.545000,18.0,34.1,1023.5,False,32.3,57,1.9,1878.545
0 days 00:32:18.556000,18.0,33.8,1023.7,False,32.1,69,1.1,1938.556
0 days 00:33:18.560000,18.0,33.8,1023.6,False,32.2,87,1.5,1998.56
0 days 00:34:18.568000,18.1,33.3,1023.5,False,31.9,66,1.0,2058.568
0 days 00:35:18.566000,18.1,32.4,1023.6,False,32.0,125,1.1,2118.566
0 days 00:36:18.569000,18.1,32.4,1023.6,False,32.0,125,1.1,2178.569
0 days 00:37:18.557000,18.3,32.4,1023.5,False,32.2,74,2.4,2238.557
0 days 00:38:18.565000,18.1,33.4,1023.6,False,31.5,61,2.3,2298.565
0 days 00:39:18.567000,18.0,34.1,1023.6,False,31.2,58,3.8,2358.567
0 days 00:40:18.561000,17.9,34.7,1023.6,False,30.9,41,3.8,2418.561
