Driver,DriverNumber,Team,LapTime,SpeedFL,Compound,LapTime_fmt
ANT,12,Mercedes,95.275,273.0,HARD,1:35.275
RUS,63,Mercedes,95.4,258.0,HARD,1:35.400
OCO,31,Haas F1 Team,95.964,278.0,SOFT,1:35.964
LEC,16,Ferrari,96.011,277.0,HARD,1:36.011
HAM,44,Ferrari,96.092,276.0,HARD,1:36.092
LIN,41,Racing Bulls,96.099,278.0,MEDIUM,1:36.099
HUL,27,Audi,96.18,272.0,MEDIUM,1:36.180
BEA,87,Haas F1 Team,96.429,254.0,HARD,1:36.429
GAS,10,Alpine,96.505,277.0,HARD,1:36.505
COL,43,Alpine,96.783,273.0,MEDIUM,1:36.783
VER,3,Red Bull Racing,97.046,276.0,HARD,1:37.046
LAW,30,Racing Bulls,97.096,280.0,HARD,1:37.096
HAD,6,Red Bull Racing,97.311,272.0,HARD,1:37.311
SAI,55,Williams,97.981,270.0,HARD,1:37.981
BOT,77,Cadillac,98.393,271.0,HARD,1:38.393
PER,11,Cadillac,98.523,272.0,HARD,1:38.523
ALO,14,Aston Martin,99.721,266.0,HARD,1:39.721
STR,18,Aston Martin,100.883,263.0,HARD,1:40.883
