Driver,DriverNumber,Team,LapNumber,LapTime_s,Sector1Time_s,Sector2Time_s,Sector3Time_s,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,FreshTyre,IsPersonalBest,TrackStatus,PitInTime_s,PitOutTime_s
NOR,1,McLaren,1.0,,,31.201,43.008,291.0,275.0,274.0,328.0,MEDIUM,5.0,False,False,12,,
NOR,1,McLaren,2.0,98.09,25.842,29.806,42.442,281.0,269.0,272.0,311.0,MEDIUM,6.0,False,True,1,,
NOR,1,McLaren,3.0,97.947,25.835,29.63,42.482,280.0,269.0,268.0,308.0,MEDIUM,7.0,False,True,1,,
NOR,1,McLaren,4.0,98.022,25.829,29.566,42.627,279.0,269.0,271.0,306.0,MEDIUM,8.0,False,False,1,,
NOR,1,McLaren,5.0,97.52,25.663,29.547,42.31,280.0,268.0,273.0,304.0,MEDIUM,9.0,False,True,1,,
NOR,1,McLaren,6.0,97.369,25.494,29.506,42.369,281.0,270.0,273.0,308.0,MEDIUM,10.0,False,True,1,,
NOR,1,McLaren,7.0,98.639,25.675,29.542,43.422,280.0,267.0,273.0,304.0,MEDIUM,11.0,False,False,1,,
NOR,1,McLaren,8.0,97.355,25.612,29.551,42.192,285.0,273.0,272.0,315.0,MEDIUM,12.0,False,True,1,,
NOR,1,McLaren,9.0,97.542,25.646,29.589,42.307,282.0,268.0,274.0,310.0,MEDIUM,13.0,False,False,1,,
NOR,1,McLaren,10.0,97.849,25.781,29.704,42.364,282.0,269.0,271.0,311.0,MEDIUM,14.0,False,False,1,,
NOR,1,McLaren,11.0,97.982,25.676,29.74,42.566,281.0,270.0,273.0,305.0,MEDIUM,15.0,False,False,1,,
NOR,1,McLaren,12.0,98.075,25.799,29.608,42.668,281.0,270.0,273.0,306.0,MEDIUM,16.0,False,False,1,,
NOR,1,McLaren,13.0,109.338,25.83,29.617,53.891,280.0,269.0,,304.0,MEDIUM,17.0,False,False,124,4088.812,
NOR,1,McLaren,14.0,,52.387,39.752,63.546,273.0,264.0,201.0,221.0,SOFT,4.0,False,False,4,,4111.262
NOR,1,McLaren,15.0,147.971,39.765,43.029,65.177,237.0,226.0,209.0,172.0,SOFT,5.0,False,False,4,,
NOR,1,McLaren,16.0,142.224,37.827,42.171,62.226,260.0,178.0,275.0,224.0,SOFT,6.0,False,False,41,,
NOR,1,McLaren,17.0,96.566,25.443,29.11,42.013,289.0,280.0,268.0,322.0,SOFT,7.0,False,True,1,,
NOR,1,McLaren,18.0,96.524,25.694,28.984,41.846,284.0,270.0,273.0,309.0,SOFT,8.0,False,True,1,,
NOR,1,McLaren,19.0,95.708,25.106,28.88,41.722,281.0,270.0,274.0,309.0,SOFT,9.0,False,True,1,,
GAS,10,Alpine,1.0,,,30.951,43.17,286.0,267.0,277.0,334.0,MEDIUM,7.0,False,False,12,,
GAS,10,Alpine,2.0,100.438,25.829,31.343,43.266,283.0,265.0,256.0,319.0,MEDIUM,8.0,False,True,1,,
GAS,10,Alpine,3.0,99.367,26.632,30.523,42.212,284.0,270.0,272.0,332.0,MEDIUM,9.0,False,True,1,,
GAS,10,Alpine,4.0,99.097,26.009,30.332,42.756,286.0,270.0,264.0,318.0,MEDIUM,10.0,False,True,1,,
GAS,10,Alpine,5.0,100.104,26.906,30.466,42.732,287.0,270.0,273.0,330.0,MEDIUM,11.0,False,False,1,,
GAS,10,Alpine,6.0,98.741,25.89,30.103,42.748,292.0,280.0,279.0,333.0,MEDIUM,12.0,False,True,1,,
