,Driver,DriverNumber,Team,LapTime_s,Sector1Time_s,Sector2Time_s,Sector3Time_s,SpeedFL,Compound,LapTime,Gap_to_Best_s
0,RUS,63,Mercedes,91.52,23.962,27.569,39.989,260.0,SOFT,0 days 00:01:31.520000,0.0
1,ANT,12,Mercedes,91.809,23.998,27.598,40.213,257.0,SOFT,0 days 00:01:31.809000,0.289
2,NOR,1,McLaren,92.141,23.961,27.616,40.564,259.0,SOFT,0 days 00:01:32.141000,0.621
3,HAM,44,Ferrari,92.161,24.11,27.694,40.357,266.0,SOFT,0 days 00:01:32.161000,0.641
4,PIA,81,McLaren,92.224,23.913,27.793,40.518,258.0,SOFT,0 days 00:01:32.224000,0.704
5,LEC,16,Ferrari,92.528,24.105,27.77,40.653,252.0,SOFT,0 days 00:01:32.528000,1.008
6,GAS,10,Alpine,92.888,24.293,27.84,40.755,253.0,SOFT,0 days 00:01:32.888000,1.368
7,VER,3,Red Bull Racing,93.254,24.404,28.258,40.592,263.0,SOFT,0 days 00:01:33.254000,1.734
8,BEA,87,Haas F1 Team,93.409,24.401,28.079,40.929,262.0,SOFT,0 days 00:01:33.409000,1.889
9,HAD,6,Red Bull Racing,93.62,24.65,28.477,40.493,267.0,MEDIUM,0 days 00:01:33.620000,2.1
10,HUL,27,Audi,93.635,24.701,28.261,40.673,267.0,MEDIUM,0 days 00:01:33.635000,2.115
11,OCO,31,Haas F1 Team,93.639,24.553,28.184,40.902,256.0,MEDIUM,0 days 00:01:33.639000,2.119
12,LAW,30,Racing Bulls,93.714,24.645,28.293,40.776,269.0,MEDIUM,0 days 00:01:33.714000,2.194
13,BOR,5,Audi,93.774,24.568,28.445,40.761,257.0,MEDIUM,0 days 00:01:33.774000,2.254
14,LIN,41,Racing Bulls,94.048,24.74,28.531,40.777,271.0,MEDIUM,0 days 00:01:34.048000,2.528
15,COL,43,Alpine,94.327,24.681,28.7,40.946,254.0,MEDIUM,0 days 00:01:34.327000,2.807
16,SAI,55,Williams,94.761,24.801,28.792,41.168,256.0,MEDIUM,0 days 00:01:34.761000,3.241
17,ALB,23,Williams,95.305,24.828,29.03,41.447,257.0,MEDIUM,0 days 00:01:35.305000,3.785
18,ALO,14,Aston Martin,95.581,25.123,28.884,41.574,256.0,MEDIUM,0 days 00:01:35.581000,4.061
19,STR,18,Aston Martin,96.151,25.256,29.04,41.855,249.0,MEDIUM,0 days 00:01:36.151000,4.631
20,BOT,77,Cadillac,97.378,25.11,29.157,43.111,237.0,MEDIUM,0 days 00:01:37.378000,5.858
