Driver,DriverNumber,Team,LapNumber,LapTime_s,Sector1Time_s,Sector2Time_s,Sector3Time_s,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,FreshTyre,IsPersonalBest,TrackStatus,PitInTime_s,PitOutTime_s
RUS,63,Mercedes,1.0,,,30.974,54.663,247.0,245.0,277.0,260.0,MEDIUM,1.0,True,False,1,,986.869
RUS,63,Mercedes,2.0,93.03,24.276,28.182,40.572,276.0,264.0,259.0,318.0,MEDIUM,2.0,True,True,1,,
RUS,63,Mercedes,3.0,125.536,30.753,37.442,57.341,251.0,158.0,,303.0,MEDIUM,3.0,True,False,1,1317.427,
RUS,63,Mercedes,4.0,,,36.881,53.641,235.0,50.0,280.0,260.0,MEDIUM,1.0,True,False,12,,2045.072
RUS,63,Mercedes,5.0,92.241,24.062,27.79,40.389,275.0,265.0,255.0,320.0,MEDIUM,2.0,True,True,1,,
RUS,63,Mercedes,6.0,135.844,33.777,42.586,59.481,198.0,213.0,280.0,258.0,MEDIUM,3.0,True,False,1,,
RUS,63,Mercedes,7.0,92.293,24.226,27.831,40.236,274.0,259.0,256.0,316.0,MEDIUM,4.0,True,False,1,,
RUS,63,Mercedes,8.0,119.325,29.64,33.981,55.704,250.0,260.0,,232.0,MEDIUM,5.0,True,False,1,2602.743,
RUS,63,Mercedes,9.0,,,30.159,46.145,239.0,237.0,281.0,258.0,SOFT,1.0,True,False,12,,2957.856
RUS,63,Mercedes,10.0,91.52,23.962,27.569,39.989,269.0,255.0,260.0,313.0,SOFT,2.0,True,True,1,,
RUS,63,Mercedes,11.0,123.622,33.731,41.687,48.204,204.0,179.0,282.0,291.0,SOFT,3.0,True,False,1,,
RUS,63,Mercedes,12.0,91.707,23.974,27.627,40.106,271.0,252.0,258.0,315.0,SOFT,4.0,True,False,1,,
RUS,63,Mercedes,13.0,131.382,31.386,36.132,63.864,209.0,200.0,,219.0,SOFT,5.0,True,False,1,3495.09,
ANT,12,Mercedes,1.0,,,36.386,51.567,223.0,245.0,276.0,256.0,MEDIUM,1.0,True,False,1,,978.447
ANT,12,Mercedes,2.0,93.455,24.508,28.154,40.793,279.0,269.0,254.0,314.0,MEDIUM,2.0,True,True,1,,
ANT,12,Mercedes,3.0,129.938,38.392,37.667,53.879,158.0,238.0,,301.0,MEDIUM,3.0,True,False,1,1318.411,
ANT,12,Mercedes,4.0,,,34.617,51.849,257.0,253.0,276.0,269.0,MEDIUM,1.0,True,False,12,,2031.57
ANT,12,Mercedes,5.0,92.57,24.308,27.903,40.359,276.0,261.0,257.0,318.0,MEDIUM,2.0,True,True,1,,
ANT,12,Mercedes,6.0,128.639,32.251,41.142,55.246,192.0,183.0,278.0,176.0,MEDIUM,3.0,True,False,1,,
ANT,12,Mercedes,7.0,92.291,24.204,27.806,40.281,274.0,259.0,258.0,317.0,MEDIUM,4.0,True,True,1,,
ANT,12,Mercedes,8.0,115.805,28.946,32.865,53.994,230.0,240.0,,243.0,MEDIUM,5.0,True,False,1,2582.177,
ANT,12,Mercedes,9.0,,,30.74,45.437,226.0,257.0,280.0,262.0,SOFT,1.0,True,False,12,,2949.246
ANT,12,Mercedes,10.0,91.88,23.966,27.558,40.356,272.0,251.0,259.0,313.0,SOFT,2.0,True,True,1,,
ANT,12,Mercedes,11.0,124.484,31.58,43.059,49.845,181.0,172.0,280.0,263.0,SOFT,3.0,True,False,1,,
ANT,12,Mercedes,12.0,91.809,23.998,27.598,40.213,271.0,260.0,257.0,313.0,SOFT,4.0,True,True,1,,
ANT,12,Mercedes,13.0,115.716,29.011,31.734,54.971,226.0,223.0,,261.0,SOFT,5.0,True,False,1,3472.562,
NOR,1,McLaren,1.0,,,31.498,45.987,252.0,265.0,257.0,288.0,MEDIUM,1.0,True,False,1,,865.315
NOR,1,McLaren,2.0,113.772,26.331,31.92,55.521,273.0,234.0,275.0,95.0,MEDIUM,2.0,True,True,1,,
NOR,1,McLaren,3.0,93.783,24.587,28.412,40.784,289.0,275.0,259.0,313.0,MEDIUM,3.0,True,True,1,,
NOR,1,McLaren,4.0,121.769,32.938,33.596,55.235,234.0,244.0,,256.0,MEDIUM,4.0,True,False,1,1302.742,
NOR,1,McLaren,5.0,,,31.26,46.413,265.0,262.0,256.0,289.0,MEDIUM,1.0,True,False,12,,1924.921
NOR,1,McLaren,6.0,111.264,28.048,30.49,52.726,264.0,264.0,275.0,303.0,MEDIUM,2.0,True,True,1,,
NOR,1,McLaren,7.0,93.163,24.356,28.181,40.626,288.0,274.0,258.0,314.0,MEDIUM,3.0,True,True,1,,
NOR,1,McLaren,8.0,127.3,31.866,38.53,56.904,195.0,215.0,275.0,163.0,MEDIUM,4.0,True,False,1,,
NOR,1,McLaren,9.0,93.086,24.451,28.086,40.549,281.0,271.0,258.0,312.0,MEDIUM,5.0,True,True,1,,
NOR,1,McLaren,10.0,119.07,29.762,33.662,55.646,244.0,226.0,,216.0,MEDIUM,6.0,True,False,1,2580.412,
NOR,1,McLaren,11.0,,,29.38,50.445,247.0,256.0,278.0,289.0,SOFT,1.0,True,False,12,,3219.966
NOR,1,McLaren,12.0,92.141,23.961,27.616,40.564,278.0,272.0,259.0,306.0,SOFT,2.0,True,True,1,,
NOR,1,McLaren,13.0,123.523,30.635,34.457,58.431,210.0,207.0,,208.0,SOFT,3.0,True,False,1,3542.501,
PIA,81,McLaren,1.0,,,32.34,48.353,253.0,265.0,253.0,260.0,MEDIUM,1.0,True,False,1,,850.143
PIA,81,McLaren,2.0,109.171,28.415,32.389,48.367,267.0,266.0,275.0,290.0,MEDIUM,2.0,True,True,1,,
PIA,81,McLaren,3.0,93.813,24.517,28.436,40.86,289.0,275.0,259.0,312.0,MEDIUM,3.0,True,True,1,,
PIA,81,McLaren,4.0,130.586,35.467,39.124,55.995,200.0,234.0,,236.0,MEDIUM,4.0,True,False,1,1299.298,
PIA,81,McLaren,5.0,,,31.847,46.092,260.0,255.0,251.0,290.0,MEDIUM,1.0,True,False,12,,1918.655
PIA,81,McLaren,6.0,113.82,28.163,32.976,52.681,277.0,258.0,276.0,193.0,MEDIUM,2.0,True,True,1,,
